#[[Fit Statistics]]
#    # function evals   = 31
#    # data points      = 494
#    # variables        = 6
#    chi-square         = 667.388
#    reduced chi-square = 1.368
#    Akaike info crit   = 160.613
#    Bayesian info crit = 185.828
#[[Variables]]
#    R:           62.5306 (fixed)
#    dshell:      18.3000000 +/- 0.068788 (0.38%) (init= 18.54)
#    SLDcore:     6.069e-06 (fixed)
#    SLDshell:    2.7840e-06 +/- 1.75e-08 (0.63%) (init= 2.768e-06)
#    SLDmatrix:   5.664e-06 (fixed)
#    sigR:        0.0942 (fixed)
#    sigdshell:   0 (fixed)
#    dth_sa:      0.00115702 +/- 5.73e-05 (4.95%) (init= 0.001155)
#    dth_la:      0.00159000 +/- 2.06e-05 (1.30%) (init= 0.001585)
#    i0:          0.61800000 +/- 0.007852 (1.27%) (init= 0.59)
#    bg:          0.01638000 +/- 0.000157 (0.96%) (init= 0.01458)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(SLDshell, i0)              =  0.724 
#    C(SLDshell, dth_la)          =  0.624 
#    C(i0, bg)                    = -0.463 
#    C(dshell, SLDshell)          =  0.456 
#    C(dshell, bg)                =  0.446 
#    C(dth_la, i0)                =  0.370 
#    C(dshell, dth_la)            =  0.361 
#    C(SLDshell, dth_sa)          =  0.306 
#    C(dshell, i0)                = -0.279 
#    C(dth_sa, dth_la)            =  0.242 
#    C(dshell, dth_sa)            =  0.202 
#    C(dth_sa, i0)                =  0.159 #q / A-1 	 I / cm-1 	 sI / cm-1 	 Imodel / cm-1
0.0234512	1.68564	0.0330891	1.70739107714
0.0236504	1.65021	0.0326111	1.66764002114
0.0238445	1.60802	0.0303602	1.62929804529
0.0240465	1.60172	0.0320501	1.58985085774
0.024236	1.53624	0.0314021	1.55320450229
0.024435	1.49773	0.0317773	1.5151869844
0.0246249	1.42434	0.0301536	1.47929502329
0.0248209	1.46086	0.0320269	1.44269098281
0.0250143	1.38343	0.0313673	1.40701200172
0.0252111	1.42017	0.0325135	1.37115251103
0.025409	1.38757	0.0330589	1.33557403242
0.0256059	1.30431	0.0339918	1.30062628698
0.0258011	1.32603	0.035125	1.26646201245
0.0259979	1.20334	0.0359261	1.23248223925
0.0261918	1.21039	0.0371013	1.19948862548
0.0263863	1.2028	0.0374743	1.16684246095
0.0265815	1.12471	0.0378321	1.13457283141
0.0267733	1.0566	0.0383637	1.10330956916
0.0269709	1.02199	0.0380256	1.07164701554
0.0271712	1.01694	0.0394495	1.04005338023
0.0273665	0.997866	0.0393599	1.00976221727
0.0275626	1.02094	0.0354015	0.97983658087
0.0277542	0.933513	0.0380427	0.951091725926
0.0279586	0.915937	0.0306339	0.920983611651
0.0281448	0.909256	0.0326351	0.893998490898
0.0283509	0.844687	0.0307735	0.864720992245
0.0285315	0.881066	0.030117	0.839479153884
0.0287421	0.838258	0.0293737	0.810686390468
0.0289224	0.779739	0.0296084	0.786439787057
0.029135	0.781159	0.0283904	0.758506907466
0.0293149	0.728271	0.0288567	0.735273706943
0.0295167	0.692427	0.0298311	0.709794412537
